Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
10/9/2019,3,-12.5,-17,6,-9,-14.4,22,35,6.5,4,-12,-10.5,6,9,-50,-33,-51,-126
10/10/2019,12.2,20.5,161,20,2,1.2,63.5,159,52.5,65,33,22.5,17,-5,-50,140,-4,22
10/11/2019,11.8,24,116,30,10,27.4,71,201,73.5,89,66,38.5,32,-17,130,52,9,421
10/15/2019,8.3,31.5,70,12,11,14.3,20.5,57,-5,57,56,52,4,111,200,77,65,-86
10/16/2019,-3.7,23.5,-72,0,5,7,-10.5,73,-15,-44,-13,56.5,-5,106,-120,-23,42,-19
10/17/2019,4.2,-8.5,-15,2,4,11.7,-1,34,10,4,-49,26.5,-27,-6,10,8,11,-20
10/18/2019,-6.7,-1.5,32,4,-3,-8.1,-13.5,20,-8,2,17,-5.5,-35,-75,-20,-16,9,-182
10/21/2019,-11.6,12.5,20,16,-4,-3.6,-18,1,16,29,14,-7,47,79,100,1000,-1,169
10/23/2019,7.5,6.5,66,36,3,2.5,54,48,24,46,21,20,8,44,90,1000,-24,-58
10/24/2019,3,17,-4,-16,8,8.1,-5.5,29,-40,-6,4,40.5,3,114,300,616,-2,207
10/25/2019,-0.9,-17,1,13,-9,-1.2,24.5,41,2,-2,-12,-2,4,57,180,14,53,-51
10/28/2019,16,6,63,17,5,5.7,56,53,49,25,53,3.5,77,-11,90,-174,-17,106
10/29/2019,-7.6,25,8,-1,11,23,-19.5,32,21,-15,10,24.5,39,-49,100,158,18,93
10/30/2019,0.4,-8.5,-12,23,-10,-16.5,-44.5,-1,13,-37,41,47.5,-26,281,-10,-261,17,42
10/31/2019,7,-10.5,9,-8,4,-4,12.5,134,-1,-2,72,16,-97,-176,-3,-266,17,-279
11/1/2019,6.4,-14.5,97,34,-2,-12,67.5,76,14,65,204,-18,46,8,-46,32,-5,-115
11/5/2019,0.2,31,1,-13,24,21,9,-190,-20,10,23,-30,-18,67,89,-115,49,134
11/6/2019,-5.7,-1.5,87,4,8,4,-17,7,-33,-15,51,17,31,-57,136,-55,-17,-40
11/7/2019,12.7,-13,169,20,-36,-16,58,-112,-60,-6,100,-2.5,0,-24,-178,85,-35,-147
11/8/2019,-2.6,14,24,-13,10,8,129,-37,-9,-15,-59,-6,14,-22,96,-97,476,6
11/11/2019,7.1,-23.5,-33,12,7,-7,28,21,26,38,-16,-5.5,16,10,13,-89,-155,-13
11/12/2019,-3.6,43,-7,-1,-1,2,-20,36,2,-25,67,-16.5,-49,-65,-16,-157,-10,-36
11/13/2019,-24.6,35.5,-94,-4,-4,-5,-70,-69,-44.5,105,2,-4,13,-60,-55,-90,-73,11
11/14/2019,-4.8,-24.5,31,2,-5,-22,11,-56,-7,6,84,14,-3,90,-8,-10,-22,10
11/15/2019,-0.8,-14,10,-6,-2,-5,7,-13,-65.5,14,53,-1.5,9,80,30,315,79,-20
11/18/2019,-0.4,2,-82,-8,1,2,-23,12,-10,-18,53,31.5,137,-6,63,246,31,171
11/19/2019,-9.5,-14.5,-66,2,-4,-6,-42,0,-12,-34,-33,-4.5,139,72,151,-65,-46,-57
11/20/2019,-6.8,-2,28,16,-7,-17,11,-5,31,-13,-62,15,-70,-83,-28,78,-58,122
11/21/2019,3.1,12.5,37,15,0,5,5,-104,-33,11,-18,-29.5,-26,46,54,25,31,-105
11/22/2019,7.3,-9,-24,-21,-5,-1,38,15,9,17,-30,21.5,-26,143,-16,220,12,97
11/25/2019,7.9,14,-21,6,1,13,-37,10,-2,7,56,16,53,-96,108,-68,6,34
